"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P20851",-1.19872542400443,4.00350974523245,-9.00481152491802,1.57931352872358e-16,8.20695841479476e-16,26.8347395651764,"down-regulated"
"P27169",1.1626390997818,5.98912026724018,12.096088475206,1.00793788239837e-25,6.72912635378618e-25,47.760908525119,"up-regulated"
"F8WCM5;P01308",-1.13675843204445,8.48784451159608,-13.1427586980825,5.87408478637558e-29,7.44882335160306e-28,55.1336105857223,"down-regulated"
"Q13478",-1.13526957207781,6.72590578627727,-7.3016312428624,6.31595076097204e-12,3.19061879614958e-11,16.4086498574007,"down-regulated"
"P63172",1.12641013384064,8.47805435262767,12.050643778183,1.39029018800442e-25,9.14144697312961e-25,47.4426097380307,"up-regulated"
"P36404",1.12517768020997,8.02367216975522,10.4140325597706,1.26342083511937e-20,6.94282870796173e-20,36.1493453615473,"up-regulated"
"Q96MC6",-1.12020827121718,5.66035328895147,-9.52243488845186,5.22477573958029e-18,2.7679856369433e-17,30.1980423967675,"down-regulated"
"Q86U90",-1.11362900956554,10.3224630156829,-13.4873425431634,5.00064137746293e-30,9.88649530512501e-29,57.5728251040735,"down-regulated"
"Q9P2M4",-1.11280130933888,5.30358710030578,-9.63864007252826,2.40717525689103e-18,1.27917028464845e-17,30.9631066985195,"down-regulated"
"Q8IZP6",-1.10923846926901,5.49272170584291,-11.2394589733939,4.17423818751101e-23,2.41273740818328e-22,41.798109526607,"down-regulated"
"P51817",-1.10458909582124,6.05639908238664,-9.3773765154893,1.36806076731359e-17,7.19079191230267e-17,29.2479771346352,"down-regulated"
"Q96GZ6",-1.10380926740054,7.6544543327174,-12.4683621505096,7.18628348231574e-27,5.64710749888569e-26,50.3749047351626,"down-regulated"
"Q86TW2",1.10095409134721,4.93072162570436,13.4201611648353,8.0860925300663e-30,1.42397590916911e-28,57.0969861788219,"up-regulated"
"Q9H6L5",1.1009280536909,6.67099666626267,12.6593338980378,1.84699876971676e-27,1.60509913064596e-26,51.719826079016,"up-regulated"
"Q96BP2",-1.09950874622652,9.23707222664566,-11.4845976253038,7.50511749961547e-24,4.46559624686422e-23,43.4956474510242,"down-regulated"
"Q2NL68",1.09387379906895,6.35226033398034,10.2373501242338,4.22574635624552e-20,2.29748547206124e-19,34.9561125369088,"up-regulated"
"Q8TEC5",1.09329677290158,3.67127276657701,8.3885194723037,8.24164596959594e-15,4.2272451821648e-14,22.9374365401454,"up-regulated"
"Q9NV58",-1.09154798223667,5.25270713216325,-13.1140284019039,7.21220753065969e-29,8.8991479871218e-28,54.9304215176264,"down-regulated"
"P49720",-1.09123159472276,10.5201326960086,-14.3758836396452,8.63295964624592e-33,7.58566827905992e-31,63.8720176035187,"down-regulated"
"Q96N06",1.09061629382796,5.97283028107634,12.982681103369,1.84226525290296e-28,2.02859056139277e-27,54.0019347135435,"up-regulated"
"Q6ZMZ3",-1.09033039522333,5.67015079892494,-8.8126990289783,5.48862119250181e-16,2.84030432799365e-15,25.6065481936827,"down-regulated"
"Q5D0E6",-1.08968578510701,7.50088287770834,-10.813891777715,8.04762410732279e-22,4.51071405345367e-21,38.8716024551944,"down-regulated"
"P49674",-1.08945493670674,10.0965900363699,-15.1696188363165,2.9528656308866e-35,1.5253289913297e-32,69.4939797324581,"down-regulated"
"Q9H040",-1.08863814597331,6.77032381952392,-9.29763222976438,2.3168349335228e-17,1.21264422904421e-16,28.7281171613047,"down-regulated"
"Q9BV20",-1.08859019388511,10.0884981792609,-15.0186208483683,8.68653949474375e-35,2.90631565633753e-32,68.4256723445843,"down-regulated"
"Q9C0C4",1.0871597898134,5.07873725968191,13.3442257027265,1.39182804253551e-29,2.19670181770118e-28,56.5592909953773,"up-regulated"
"Q96SB4",-1.08713391984064,10.7160301517345,-15.5911848687016,1.45827404899886e-36,3.80067368269618e-33,72.4721129850047,"down-regulated"
"Q96P11",1.0868631229778,7.2121211243066,14.4808318553919,4.0721543911894e-33,4.21710369630435e-31,64.6160455907608,"up-regulated"
"Q9NSY1",1.08612434142714,6.6507429676999,14.2953075955915,1.53723392288154e-32,1.10515685083855e-30,63.3007048720495,"up-regulated"
"Q9NVD7",-1.08579370464184,10.214962658127,-14.4302417329834,5.84961605805564e-33,5.56936837921224e-31,64.2574031903529,"down-regulated"
"O00287",1.08385078429408,6.41839555624925,12.7276841762688,1.13514257132276e-27,1.0329084966461e-26,52.2017455869939,"up-regulated"
"Q9H490",-1.08371634012212,6.60450556193793,-9.05919408253333,1.10779341833091e-16,5.76357353233289e-16,27.1844722107178,"down-regulated"
"Q8N0Z9",-1.08300878118137,6.3096795042967,-12.7482191792764,9.80641647024708e-28,8.98904287404419e-27,52.3465861088925,"down-regulated"
"Q96SL4",1.08208778930834,5.3903478414189,13.5599066886677,2.97535013074631e-30,6.61958332157599e-29,58.0869126224219,"up-regulated"
"P78410",1.08187707625925,5.05099526450775,13.5218863068238,3.90561923013118e-30,8.16706290454595e-29,57.8175386350952,"up-regulated"
"Q5T9G4",1.0816822788189,6.96553318957852,11.87066259136,4.95968871802636e-25,3.14005328661654e-24,46.1839316924552,"up-regulated"
"Q495W5",1.07972893819184,6.19735641369768,14.583386341725,1.95429042018574e-33,2.61544190233781e-31,65.3429679825363,"up-regulated"
"Q99595",1.07895227559306,7.67693922100835,15.0586791031324,6.52381110592351e-35,2.46741881784472e-32,68.7091540022898,"up-regulated"
"P17980",-1.0783589513081,13.9426054159534,-15.3304724626325,9.3630641752265e-36,6.78744127169128e-33,70.6311548874286,"down-regulated"
"Q96AE7",1.07774171102259,7.36390734370253,14.1320222779032,4.94971226060491e-32,2.83273335230277e-30,62.1428461607025,"up-regulated"
"Q13576",-1.07729425854343,10.3188746946113,-15.473299056701,3.37947774311288e-36,4.70440428919134e-33,71.640048198896,"down-regulated"
"P00747",1.07717743449018,7.1558986203423,6.50579371125506,5.90132714390406e-10,2.9708127792142e-09,11.9660889318038,"up-regulated"
"Q01844",1.07664954030019,12.2230145000069,14.1276398839817,5.10752134858382e-32,2.90394302034841e-30,62.1117696228171,"up-regulated"
"Q9NXF8",-1.07660263232161,5.89354474600704,-10.6168037829717,3.13781823987397e-21,1.74080872886886e-20,37.526217602253,"down-regulated"
"Q9Y2S6",-1.07596063974246,9.7963411979949,-13.1020645351298,7.8555893373533e-29,9.56697551536404e-28,54.8458192987692,"down-regulated"
"Q9Y4Y9",1.07547890017289,9.4396944654578,12.3560703027088,1.59569011981585e-26,1.17834536097437e-25,49.5852709188621,"up-regulated"
"O94763",-1.07537887009674,9.48174594685285,-13.7267780991945,9.0121446310905e-31,2.50468518037879e-29,59.2695302892531,"down-regulated"
"Q7Z4F1",-1.07531771685795,7.73441505804877,-12.262101581276,3.1084974141199e-26,2.19309156572823e-25,48.925223015103,"down-regulated"
"Q9NS15",1.07449153876223,5.43959379239675,13.1105487392043,7.39370274681154e-29,9.08443788058102e-28,54.9058145616527,"up-regulated"
"Q9HBE1",-1.07414104867782,7.02012455826464,-13.0271045706756,1.34164809796981e-28,1.53768073837146e-27,54.3158776566724,"down-regulated"
