"PG.ProteinGroups","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q96PM9",1.44552201287022,4.90065363780915,6.90204734512554,1.76313749032275e-08,7.59283813283048e-07,9.37928174486423,"up-regulated"
"Q96JN2",-1.41169234389282,7.73932820408558,-3.88657319312065,0.000345853712734321,0.00179724100781115,-0.105691953965416,"down-regulated"
"O60487",-1.39339918144691,5.2582542933919,-5.4719730757957,2.11726086022854e-06,1.62416686270971e-05,4.76129927509629,"down-regulated"
"P51668;Q9Y2X8",-1.38923412029061,7.52024814485029,-5.39153037320281,2.76616932309519e-06,2.02209302030294e-05,4.50410473546166,"down-regulated"
"Q9P0W8",1.36831190539476,3.19647731941094,4.22115600321845,0.000123005403282356,0.000650470518634171,0.873120384007299,"up-regulated"
"Q9NZU5",-1.28685747635157,8.0527209997701,-6.28461511770166,1.39582272257162e-07,2.40440828983178e-06,7.38228212515349,"down-regulated"
"Q13478",-1.26478203948378,6.87497513985373,-3.31537986581895,0.0018630359470267,0.00943338166658046,-1.68299730614117,"down-regulated"
"Q8N0Z9",-1.25895351949083,6.40847183932104,-7.44595994739042,2.8852641027572e-09,3.53505808871618e-07,11.1259696453357,"down-regulated"
"Q6IQ21",-1.25576502325351,5.5778416384027,-6.84183110627234,2.15633633392248e-08,8.26342280563508e-07,9.18495779605321,"down-regulated"
"Q9NUL7",-1.25556310964791,9.22036848817511,-7.45848474297037,2.768068513815e-09,3.53505808871618e-07,11.1659673814639,"down-regulated"
"Q5THK1",-1.24992394485216,7.82981381008817,-7.37319430621424,3.67201456990236e-09,3.84853671609405e-07,10.893368011422,"down-regulated"
"Q8IYD1",-1.24858698958878,12.0567821210088,-7.4638439668628,2.71939663907677e-09,3.53075094975058e-07,11.1830784189369,"down-regulated"
"Q92845",1.24575103578385,6.31714591415978,7.36613789621994,3.75896011115706e-09,3.8833311029696e-07,10.8707915492711,"up-regulated"
"A4D2B0",-1.22914144086133,6.42054948583459,-4.44647597130838,6.03578492526601e-05,0.000327543936774105,1.5505092502484,"down-regulated"
"Q9H0F7",-1.22690267813848,7.56150376811047,-8.11842064538849,3.16897111704809e-10,1.62158116160008e-07,13.2547590497118,"down-regulated"
"Q96KR6",1.22569219587031,3.09303189499561,4.0227418766473,0.00022791344897648,0.00119291160809049,0.288406587123828,"up-regulated"
"P51965",1.22457607271539,8.4406342747388,3.20598465856815,0.00253668302731878,0.0127258394778812,-1.96899147889626,"up-regulated"
"Q9H3L0",1.222871422073,5.87993891088314,7.15968138869946,7.46500966797102e-09,5.09321130481483e-07,10.2087929878055,"up-regulated"
"O15527",-1.22257524787144,7.22009062392513,-5.51599112085386,1.82873521221499e-06,1.4448835250734e-05,4.90228742702619,"down-regulated"
"Q9Y5J7",-1.22065858544172,9.22195795514258,-7.71227448111498,1.19770618080725e-09,2.96908002081824e-07,11.9737955591887,"down-regulated"
"Q9H4A3",1.21863701410597,10.4232030624695,7.48518581196157,2.53396643745626e-09,3.48175771890556e-07,11.2511977432092,"up-regulated"
"Q6Y2X3",-1.21279003971102,7.02076365676131,-8.35944034685682,1.45010608411641e-10,1.3161458402304e-07,14.0071239041065,"down-regulated"
"Q9NWA0",-1.21155238248479,9.04803695030576,-6.94038167634037,1.55117629312965e-08,7.16107771419087e-07,9.50291177336153,"down-regulated"
"Q8NF64",1.21023452826469,6.71140705652426,6.44491107420323,8.15179891386257e-08,1.77382266675513e-06,7.90132461420032,"up-regulated"
"Q8TE04",1.20872060228128,4.8438778011422,5.24463593944088,4.50052610583264e-06,3.03488965849908e-05,4.03617399351209,"up-regulated"
"Q99941",-1.20517695090141,7.24334124991905,-7.86144630275612,7.33734033672686e-10,2.63310172082143e-07,12.4460746494725,"down-regulated"
"P83110",1.20491542813393,6.25636601487099,5.01521717021661,9.58161960290211e-06,5.86149851797788e-05,3.31069090767312,"up-regulated"
"Q969X0",1.20477425528732,4.67331059422396,4.68735823762248,2.78685576210821e-05,0.000156911704042585,2.28821953635629,"up-regulated"
"Q14117",1.2041351413357,6.78894508930993,4.62627252137402,3.39369671711691e-05,0.000188878872310941,2.09994484512187,"up-regulated"
"Q9BZC7",1.20405639198319,6.29834815080188,7.11738111141137,8.59436348677049e-09,5.63944631700332e-07,10.0728353566911,"up-regulated"
"Q3KRA6",-1.20291374569289,6.07396498239434,-5.63953214011663,1.21137653340376e-06,1.05062457268987e-05,5.29883288406761,"down-regulated"
"Q5VW32",1.20019437348099,9.25921211080164,5.87934597046207,5.43294196513153e-07,5.86366776112645e-06,6.0714798474236,"up-regulated"
"P04080",1.19801995439505,11.3656794218402,6.92470466601118,1.63457912991445e-08,7.23850530703194e-07,9.45236040572346,"up-regulated"
"O75157",1.19734318161909,6.68195847809549,6.77837535150805,2.66634131411466e-08,9.47205107346753e-07,8.9800302517521,"up-regulated"
"P60006",-1.1946053771404,9.17463837871031,-6.13872888541609,2.27725935461355e-07,3.2475211681612e-06,6.91000762256394,"down-regulated"
"Q9NRY6",-1.19305275822633,7.54364088353674,-6.38614644278937,9.92828669399929e-08,1.9463133561216e-06,7.71105004749295,"down-regulated"
"Q96KB5",-1.19204503409144,11.0682377937701,-7.50318183807952,2.38752895439601e-09,3.43364969801084e-07,11.3086110361088,"down-regulated"
"P62851",-1.18650030696371,14.7173513659957,-6.28501133131329,1.39396818324771e-07,2.40440828983178e-06,7.38356505647484,"down-regulated"
"Q5JTW2",-1.18588244254197,6.8535543713104,-6.33344911616879,1.18485457737277e-07,2.15178496212228e-06,7.54041006140995,"down-regulated"
"O15078",1.18478388062367,5.35490680204455,6.417341197975,8.94172435743541e-08,1.85642148413677e-06,7.81205843611402,"up-regulated"
"Q6KCM7",1.18252788980312,5.68852216073207,6.88078991044935,1.89296864097092e-08,7.76742179613491e-07,9.31069855365372,"up-regulated"
"Q9NXA8",-1.18235027303967,8.41547534807203,-7.04268148906458,1.10245528267193e-08,6.46624915851219e-07,9.832502083507,"down-regulated"
"P20851",-1.18183397420885,4.00888741492384,-4.7423119774133,2.33294176493419e-05,0.000133164438406578,2.45823841692081,"down-regulated"
"Q8N7R7",1.18160539697469,6.01450603000678,6.15007998777064,2.19217087668392e-07,3.15924899152408e-06,6.94674389297775,"up-regulated"
"Q96SL4",1.17928890458446,5.36160866055048,7.21485355127441,6.21290804241487e-09,4.65914543629025e-07,10.3859650318094,"up-regulated"
"Q13576",-1.17721642537298,10.3608623356393,-7.75923093155729,1.02630010086824e-09,2.87993050885574e-07,12.1226737423166,"down-regulated"
"Q9Y696",-1.1766871732478,10.5691084008881,-8.48216231960018,9.76109082472082e-11,1.22693494702468e-07,14.3877865341806,"down-regulated"
"Q96A47",1.17476754851937,5.76280479438497,4.92633787267808,1.28179336676915e-05,7.66872111246552e-05,3.03168041094129,"up-regulated"
"Q9BTP7",-1.17476187431719,5.17155542105723,-3.96799024512003,0.000269695855631467,0.00140568259325232,0.129205883601304,"down-regulated"
"Q8WU58",1.17378856137582,7.50799493547105,7.23945913555314,5.72479016107562e-09,4.5589107784675e-07,10.464920222856,"up-regulated"
"Q99570",-1.17376790354293,10.0426971607817,-7.68019664746138,1.33111990817233e-09,2.96908002081824e-07,11.8719812868694,"down-regulated"
"Q9UHK6",-1.16982231005178,8.43632667941459,-7.08445398609423,9.59110849030123e-09,5.95950376836645e-07,9.96693479620348,"down-regulated"
"Q7Z4F1",-1.1696793651598,7.77101330900299,-6.12937137734695,2.34987903482969e-07,3.29703189096507e-06,6.87972512906468,"down-regulated"
"O75947",1.16896458121696,12.5977022039905,7.51082192455425,2.32796445615612e-09,3.43364969801084e-07,11.3329779616459,"up-regulated"
"Q16659",1.16846965758755,4.00369058348443,5.58398614816843,1.45799240638952e-06,1.2097176931014e-05,5.12039342862988,"up-regulated"
"Q14814",-1.16815787436979,8.73123327769479,-6.39823070776156,9.53380387775561e-08,1.89191501983223e-06,7.75017935482836,"down-regulated"
"O95476",1.16813993822533,6.84658795255227,5.12706859958447,6.63389473963603e-06,4.24637603679866e-05,3.66350447887008,"up-regulated"
"Q9Y485",1.16623560269942,6.8897077650334,7.31106430427467,4.51272322103996e-09,4.29246021295093e-07,10.694469942027,"up-regulated"
"Q8IXT5",1.16568669582664,8.63401187238189,7.03259987270444,1.14016118756464e-08,6.46624915851219e-07,9.8000437628844,"up-regulated"
"Q96F24",-1.16529595756077,7.89081550583897,-6.21334274440514,1.77293778132557e-07,2.77888031707227e-06,7.15152237986214,"down-regulated"
"Q9H7D0",1.1644695670522,8.27431431698839,6.98665690544397,1.32908031879276e-08,6.92315550489712e-07,9.65206372368123,"up-regulated"
"P51817",-1.16292121202178,6.01740935898152,-4.50296912661972,5.04035448870329e-05,0.000276631190518801,1.72234996501636,"down-regulated"
"A1L020",-1.16205553144532,5.95672478841548,-5.44868985832193,2.28771748648931e-06,1.73503525849787e-05,4.6867942193288,"down-regulated"
"O14957",1.1607831568758,6.26152231195691,8.07864377941277,3.60732784149727e-10,1.74334138295471e-07,13.1300091272973,"up-regulated"
"O14713",-1.16059361686703,8.36164692653183,-5.81277739329861,6.78911516109026e-07,6.90679972004686e-06,5.85668701637884,"down-regulated"
"P55795",1.15880417994243,9.68895695880306,6.6274308101196,4.42041506326778e-08,1.20993922619282e-06,8.49204932517291,"up-regulated"
"O00462",-1.15743808408512,7.83659062994887,-8.17518492187672,2.63471710951718e-10,1.52796027571266e-07,13.432505281022,"down-regulated"
"Q9BRD0",1.15729752556827,8.08054506818673,7.32633457707918,4.2896605613287e-09,4.19278171044925e-07,10.7433793505649,"up-regulated"
