"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q49AM3",-1.40504591061293,7.00942391677337,-5.03744996548543,2.70253531712144e-06,1.38371717031427e-05,4.21278860786144,"down-regulated"
"Q9BTP7",-1.38352757779408,5.22429651835703,-7.14263499512993,3.19035059900274e-10,1.86887945190066e-09,12.9962125514537,"down-regulated"
"P56181",-1.32864484712235,7.10671332793862,-8.6339744433224,3.47862187152537e-13,5.80816346648737e-12,19.6660953112706,"down-regulated"
"Q9UDX5",-1.25952117993968,9.1178068743923,-8.48518216496151,6.90684180359865e-13,9.64407975112434e-12,18.9948219297826,"down-regulated"
"P26010",-1.25588135928691,5.60846686115524,-6.2636974260963,1.57936636754703e-08,8.39273551086843e-08,9.19304744472582,"down-regulated"
"Q9H867",1.25550562133381,5.58035729235366,7.0908575572412,4.02854566747862e-10,2.34567059982574e-09,12.7684931782773,"up-regulated"
"O94900",1.24362916115925,4.87198559037897,9.20244677312101,2.5273274441577e-14,1.05698179984268e-12,22.2327437463927,"up-regulated"
"A0PK00",-1.23346996184733,6.39199978570022,-7.56309968089108,4.74296976039945e-11,3.25901216000907e-10,14.858104575345,"down-regulated"
"Q8NHY2",1.23129677453898,4.79853756723097,7.95484271992995,7.91318189001124e-12,6.70270392027339e-11,16.6089232480526,"up-regulated"
"O43808",1.21526896944189,5.24067526527625,8.88510592776393,1.09232811728194e-13,2.64684186413248e-12,20.7998882163681,"up-regulated"
"Q8N0Z9",-1.19958607656259,6.27439076579172,-8.96798001863791,7.45274572317331e-14,2.09810469404157e-12,21.1741291709571,"down-regulated"
"Q53HC5",1.19379284524398,4.95232155600075,9.29546997485992,1.64594526635498e-14,8.21259179883749e-13,22.652549909188,"up-regulated"
"Q9H841",1.18205317205593,6.81816565100415,7.03859377922291,5.09626159075931e-10,2.94371710345387e-09,12.5390279872953,"up-regulated"
"Q12962",-1.18152591440016,8.61662066137999,-9.18211278653082,2.77575743001367e-14,1.1336297597976e-12,22.1409590565397,"down-regulated"
"Q5VTA0",1.1778794921475,6.01881637450362,7.16804734079458,2.84485576021865e-10,1.68235215894915e-09,13.1081147339404,"up-regulated"
"Q6NTF9",-1.17604815118534,7.77952500054341,-9.66071422745589,3.06217592005125e-15,3.371882066902e-13,24.2987950618857,"down-regulated"
"P20851",-1.16824531824342,4.14789803780007,-5.66158266380224,2.08374066574957e-07,1.0783141018058e-06,6.68847331397516,"down-regulated"
"Q9NRD5",1.16505873186125,8.21566299764933,8.2414668196403,2.12135936330193e-12,2.28527610202989e-11,17.8967641284285,"up-regulated"
"Q96JY6",1.16444319065841,8.11458326654893,9.35978403221203,1.2237490431511e-14,7.14455901098755e-13,22.942694521235,"up-regulated"
"Q9NZV5",1.16442191599044,5.35606457092571,9.25583953577618,1.97584607694425e-14,9.04625527544106e-13,22.4737198347906,"up-regulated"
"Q96QD9",-1.1635062636075,8.17104451290561,-9.02964170075345,5.60768531056962e-14,1.72401146786081e-12,21.4525721228071,"down-regulated"
"Q9UQ88",1.16307606595766,6.02835925770299,6.52295068904601,5.06808118724307e-09,2.74686842665592e-08,10.2993901727022,"up-regulated"
"P46087",1.15937522856138,11.7718418373133,9.41547908482328,9.46789838284722e-15,5.80008788960479e-13,23.193877562924,"up-regulated"
"Q9UMR5",1.1519665754543,7.30607736637482,6.56189051889145,4.26775037366262e-09,2.3188732355085e-08,10.4668048843795,"up-regulated"
