model,recall_10,recall_20,recall_40,recall_60,recall_80,recall_100
K Nearest Neighbors (KNN),0.7695402298850574,0.9045977011494253,0.9844827586206897,0.9971264367816092,0.9988505747126437,0.9982758620689656
Average KNN,0.7436781609195402,0.9051724137931034,0.9816091954022989,0.9988505747126437,0.9982758620689656,0.9994252873563219
Median KNN,0.7666666666666667,0.921264367816092,0.9890804597701149,0.9977011494252873,0.9971264367816092,0.9994252873563219
Local Outlier Factor (LOF),0.8879310344827587,0.9137931034482759,0.9045977011494253,0.9011494252873563,0.8873563218390804,0.8810344827586207
Isolation Forest,0.15057471264367817,0.15,0.1482758620689655,0.14195402298850573,0.1396551724137931,0.15344827586206897
SUOD,0.6350574712643678,0.6086206896551725,0.7551724137931034,0.864367816091954,0.7586206896551724,0.7350574712643678
Minimum Covariance Determinant (MCD),0.9482758620689655,0.9712643678160919,0.9925287356321839,0.9936781609195402,0.996551724137931,0.9982758620689656
Principal Component Analysis (PCA),0.5580459770114943,0.5706896551724138,0.5827586206896552,0.585632183908046,0.5890804597701149,0.5919540229885057
KPCA,0.4804597701149425,0.596551724137931,0.0,0.6040229885057471,0.0,0.0
Probabilistic Mixture Modeling (GMM),0.8545977011494252,0.896551724137931,0.946551724137931,0.967816091954023,0.9781609195402299,0.9873563218390805
Histogram-based Outlier Detection (HBOS),0.4557471264367816,0.4494252873563218,0.44310344827586207,0.4471264367816092,0.45057471264367815,0.4471264367816092
Copula-base Outlier Detection (COPOD),0.35747126436781607,0.3568965517241379,0.3586206896551724,0.3586206896551724,0.35574712643678164,0.3603448275862069
ECDF-baseD Outlier Detection (ECOD),0.4632183908045977,0.4591954022988506,0.46091954022988507,0.46379310344827585,0.46206896551724136,0.4666666666666667
Kernel Density Functions (KDE),0.9867816091954023,1.0,1.0,1.0,1.0,0.9988505747126437
Sampling,0.9132183908045977,0.9695402298850575,0.9844827586206897,0.8068965517241379,0.9741379310344828,0.9712643678160919
LUNAR,0.5643678160919541,0.792528735632184,0.8304597701149425,0.9126436781609195,0.9183908045977012,0.9327586206896552
Cluster-based Local Outlier Factor (CBLOF),0.6603448275862069,0.95,0.9827586206896551,0.9844827586206897,0.9936781609195402,0.993103448275862
One-class SVM (OCSVM),0.889080459770115,0.9568965517241379,0.982183908045977,0.9890804597701149,0.9954022988505747,0.9948275862068966
